"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi ülke merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Çalıştığınız şirketteki unvanınız nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Senede kaç kez zam alıyorsunuz?","Ara zam / iyileştirme oranınız hangi aralıkta?","Yemek kartınız varsa günlük güncel miktar nedir?","Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Erzak yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Hybrid,151-300,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
PHP
Python
SQL","Türk Lirası",Brüt,1,%51-%70,"300 TL ve üzeri","29.802 TL - 37.252 TL"
"Şub 5, 2024",Erkek,"Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)","Yurt dışı","İtalya ",,Hybrid,1-10,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Java ve bağlı framework'ler
SQL",Euro,Net,1,Almadım,,"44.704 TL - 54.951 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,1.000-5.000,"Software Architect",Senior,"5-7 Yıl","C# / .NET Framework","Türk Lirası",Net,2,%36-%50,"250-300 TL","105.103 TL - 127.552 TL"
"Şub 5, 2024",Kadın,"Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri","Yurt dışı","İngiltere ",,Remote,151-300,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Sterlin,Brüt,1,Almadım,,"195.003 TL - 239.002 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Ofiste,11-20,"ABAP Consultant",Junior,"0-1 Yıl","ABAP
SAP","Türk Lirası",Net,2,"%71 ve üzeri","250-300 TL","29.802 TL - 37.252 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ",,Remote,,"Mobile Developer(Cross Platform)",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,2,Almadım,150-180TL,"26.803 TL - 29.801 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası","Yurt dışı","Türkiye ","34 İstanbul",Remote,151-300,"Q/A - Test Automation Engineer",Mid,"3-5 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,2,%36-%50,"250-300 TL","44.704 TL - 54.951 TL"
"Şub 5, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri
Tıbbi izin","Yurt dışı","Amerika Birleşik Devletleri ","34 İstanbul",Remote,1.000-5.000,"Software Engineer",Senior,"7-9 Yıl","C# / .NET Framework
DevOps araçları","Türk Lirası",Brüt,3,%11-%20,150-180TL,"105.103 TL - 127.552 TL"
"Şub 5, 2024",Erkek,Hiçbiri,"Yurt dışı","Amerika Birleşik Devletleri ",,Remote,11-20,"Backend Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler",Dolar,Net,1,%5-%10,"150 TL altı","37.253 TL - 44.703 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Backend Developer / Engineer",Senior,"12 Yıl ve üzeri","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Kubernetes
SQL","Türk Lirası",Net,2,%21-%35,"210-250 TL","82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Eğitim ödemeleri
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
Emeklilik planlama hizmetleri
Sertifika sınav ücretleri
İşçi tazminatı
Tıbbi izin","Yurt dışı","Hollanda ",,Hybrid,"10.000 ve üzeri","Fullstack Developer / Engineer",Mid,"12 Yıl ve üzeri","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
Python
SQL",Euro,Brüt,1,%5-%10,,"150.003 TL - 195.002 TL"
"Şub 5, 2024",Erkek,"Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Personel servisi",Türkiye,"Türkiye ","34 İstanbul",Ofiste,601-1.000,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler
PHP","Türk Lirası",Net,2,%36-%50,,"44.704 TL - 54.951 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri",Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"Software Engineer","Yeni mezun","1-3 Yıl","C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,2,%21-%35,"300 TL ve üzeri","44.704 TL - 54.951 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","06 Ankara",Ofiste,21-50,"Team Lead",Senior,"9-12 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,1,%21-%35,"180-210 TL","44.704 TL - 54.951 TL"
"Şub 5, 2024","Belirtmek İstemiyorum","Yemek kartı
Özel günlerde hediye çeki
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Business Analyst",Mid,"1-3 Yıl",,Dolar,Net,2,%21-%35,"180-210 TL","44.704 TL - 54.951 TL"
"Şub 5, 2024",Erkek,"Şirket telefonu
Eğitim ödemeleri","Yurt dışı","Almanya ",,Hybrid,1.000-5.000,"Mobile Developer(Cross Platform)",Mid,"1-3 Yıl",Flutter,Euro,Brüt,1,%5-%10,,"82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ",,Hybrid,"10.000 ve üzeri","Software Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
SQL","Türk Lirası",Net,2,%36-%50,"250-300 TL","44.704 TL - 54.951 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Remote,151-300,"Backend Developer / Engineer",Senior,"3-5 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,2,%21-%35,"250-300 TL","82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%36-%50,"250-300 TL","44.704 TL - 54.951 TL"
"Şub 5, 2024",Kadın,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,151-300,"SecOps Engineer",Mid,"1-3 Yıl","Linux
Python","Türk Lirası",Net,1,Almadım,"210-250 TL","29.802 TL - 37.252 TL"
"Şub 5, 2024",Kadın,Hiçbiri,Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Android Developer",Junior,"0-1 Yıl",Kotlin,"Türk Lirası",Net,1,Almadım,,"26.803 TL - 29.801 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Hayat sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Frontend Developer / Engineer",Senior,"5-7 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,2,%51-%70,"180-210 TL","54.952 TL - 67.202 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Remote,11-20,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,1,%36-%50,150-180TL,"44.704 TL - 54.951 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Personel servisi",Türkiye,"Türkiye ","34 İstanbul",Hybrid,"10.000 ve üzeri","Business Analyst",Junior,"1-3 Yıl","Figma / XD ve diğer tasarım araçları
Flutter","Türk Lirası",Net,1,%21-%35,"150 TL altı","29.802 TL - 37.252 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"Türkiye ","34 İstanbul",Ofiste,1-10,"Backend Developer / Engineer",Junior,"1-3 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux
PHP
SQL","Türk Lirası",Net,2,%51-%70,"150 TL altı","29.802 TL - 37.252 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası","Yurt dışı","Amerika Birleşik Devletleri ",,Remote,21-50,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
NoSQL
PHP
SQL","Türk Lirası",Net,1,Almadım,"180-210 TL","54.952 TL - 67.202 TL"
"Şub 5, 2024",Erkek,"Eğitim ödemeleri",Türkiye,"Türkiye ","34 İstanbul",Ofiste,"10.000 ve üzeri","Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Brüt,1,%5-%10,,"37.253 TL - 44.703 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Udemy vb kurs üyelikleri
Emeklilik planlama hizmetleri
Sertifika sınav ücretleri
İşsizlik sigortası
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Remote,"10.000 ve üzeri","Database Administrator",Senior,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Linux
SQL","Türk Lirası",Brüt,2,%11-%20,"250-300 TL","82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı",Türkiye,"Afganistan ",,Remote,,"ABAP Consultant","Yeni mezun","0-1 Yıl",,"Türk Lirası",Net,,,,"17.002 TL - 22.451 TL"
